New Dietary Ingredient Notification #,New Dietary Ingredient Report # Regulations.gov,Name of New Dietary Ingredient,Firm,Date of Submission,Date of FDA's   Response  
231,Rpt/NDI 193,Momordica charantia L. (Balsam pear) extract and Cordyceps sinensis (Berk.) Sacc. (Dong Chong Xia Cao) extract (Biodiatab),New Century Company,5/6/2003,7/14/2003
232,Rpt/NDI 194,Padina pavonica extract,Institute of Benthique Algae Limited,5/19/2003,7/18/2003
233,Rpt/NDI 195,Hydrolyzed (denatured) chicken sternal type II collagen (BioCell Collagen II) ,"Biocell Technology, LLC",5/21/2003,8/5/2003
234,Rpt/NDI 196,Nano red elemental selenium (Nano-Se),Nano Port (USA) Inc.     ,6/4/2003,8/19/2003
235,Rpt/NDI 197,Panax notoginseng Burk. (sanqi),Cyber Store LLC,6/6/2003,8/20/2003
236,Rpt/NDI 198,"Lactobacillus bulgaricus, strains NBMCC 8243, 8244, 8247",Kendy USA LLC ,6/13/2003,8/19/2003
237,Rpt/NDI 199,"Sutherlandia frutescens (L.) R.Br.Moshe & Van Wyk ined., Sutherlandia leaf powder","Green Man International, Inc.",7/1/2003,9/11/2003
238,Rpt/NDI 200,7-hydroxymatairesinol (HMR),Hormos Nutraceutical Oy Ltd.,6/30/2003,9/12/2003
239,Rpt/NDI 201,"Tricreatine Orotate, which consists of pure Creatine molecularly bonded to pure Orotic Acid in a molecular ratio of 3:1","JNC NutraChem, Inc.",7/14/2003,9/25/2003
242,Rpt/NDI 202,Ganoderma lucidum Mycelium Powder (Feeling Wel Ganoderma Essence),"Atlantic Medical Health Care, Inc.",7/16/2003,9/26/2003
243,Rpt/NDI 203,Proteoglycan extract from Coriolus versicolor and melatonin (MuneGard),"BioAge Pharmaceuticals, Inc.    ",7/18/2003,10/3/2003
244,Rpt/NDI 204,Pueraria mirifica,American Phyto Lab  ,7/18/2003,10/3/2003
245,Rpt/NDI 205,"Combination of dried orange fruit, tangerine peel, and licorice root powder (Chin Shu Tin Foi Chun Dan)",New Century Company,7/22/2003,10/2/2003
246,Rpt/NDI 206,"Combination of blackberry current powder, blackberry powder, and oil of sweet birch powder (Eighteen Buddha Ta Da Wan)",New Century Company,7/22/2003,10/6/2003
247,Rpt/NDI 207,"Combination of peach kernel, cinnamon bark, rhubarb, glycyrrhiza, anhydrous mirabilitum and light anhydrous silicic acid (TSUMURA Tokaku-joki-to extract granules (TJ-61))","Tsumura USA, Inc.    ",8/7/2003,10/16/2003
248,Rpt/NDI 208,Carnitine Creatinate Monohydrate,"AMT Labs, Inc ",8/13/2003,10/22/2003
250,Rpt/NDI 209,Lactobacillus paracasei subsp.paracasei strain F19 (Lactobacillus F19),Medipharm USA,9/2/2003,11/14/2003
251,Rpt/NDI 210,Conesco Brand Sea Buckthorn Seed Oil derived from Hippophae rhamnoides L.,"Conseco Sea Buckthorn Co., Ltd.",9/4/2003,11/14/2003
254,Rpt/NDI 211,Conesco Brand Sea Buckthorn Fruit Oil derived from Hippophae rhamnoides L.,"Conseco Sea Buckthorn Co., Ltd.",9/4/2003,11/19/2003
255,Rpt/NDI 212,Conseco Brand Sea Buckthorn Granules derived from fruit juice and residue of Hippophae rhamnoides L.,"Conseco Sea Buckthorn Co., Ltd.",10/8/2003,12/19/2003
256,Rpt/NDI 213,2-Aminoethanethiol Hydrochloride (Cysteamine hydrochloride (HCL)),Omega Bio-Pharma (USA) LLC,10/21/2003,1/2/2004
257,Rpt/NDI 214,Isopropoxy Isoflavone (Ipriflavone) (Ostivone),Perrigo Company,10/22/2003,1/5/2004
258,Rpt/NDI 215,2-oxo-pyrrolidone or 2-oxo-1-pyrrolidine acetamide (Piracetam),Unlimited Nutrition,10/27/2003,1/9/2004
259,Rpt.NDI 216,"NeoKimchi A, a mixture of freeze-dried and powdered kimchi with lactobacillus (Leuconostoc citreum) and ginseng (3:2:5 ratio)",Neo Kim Chi Inc. ,10/30/2003,1/9/2004
260,Rpt/NDI 217,Warmhearted Brand Sea Buckthorn Rich Flavone Extraction Substance derived from botanical fruits of Sea buckthorn (Hippophae rhamnoides L.),"Conseco Sea Buckthorn Co., Ltd.",11/4/2003,1/17/2004
262,Rpt/NDI 218,Hoodia gordonii extract,"Hoodia Products, LLC",11/4/2003,1/15/2004
263,Rpt/NDI 219,2-Aminoethanethiol hydrochloride or cysteamine hydrochloride (AK-40),Omega Bio-Pharma (USA) LLC,11/20/2003,2/2/2004
264,Rpt/NDI 220,2-Aminoethanethiol hydrochloride or cysteamine hydrochloride (S-BR),Omega Bio-Pharma (USA) LLC,11/20/2003,2/2/2004
265,Rpt/NDI 221,2-Aminoethanethiol hydrochloride or cysteamine hydrochloride (S-BI),Omega Bio-Pharma (USA) LLC,11/20/2003,2/2/2004
266,Rpt/NDI 222,Shea Butter (Butyrospermum parkii Kotschy) nut extract containing 50% unsaponifiable matter (BSP-201),BSP Pharma A/S ,12/4/2003,2/17/2004
267,Rpt/NDI 223,Shea Butter (Butyrospermum parkii Kotschy) nut extract containing 80% unsaponifiable matter (SheaNature),Aarhus Olie A/S,12/4/2003,2/17/2004
268,Rpt/NDI 224,Pueraria candollei var. mirifica Airy Shaw & Suvatabandhu root powder extract (Pueraria mirfica extract),"American Institute for Biosocial and Medical Research (AIBMR), Inc.",12/19/2003,3/2/2004
269,Rpt/NDI 225,Methylseleninic acid,"Rocky Mountain Selenium, Inc.",12/23/2003,3/5/2004
270,Rpt/NDI 226,Sea Buckthorn extract derived from the leaves of the Hippophae rhamnoides L. Sea Buckthorn plant,"Altai, LLC",1/5/2004,3/19/2004
271,Rpt/NDI 227,"VI-28 which is a combination of Panax ginseng, Cornu cervi pantotrichum, Cuscuta chinesis, Cnidium monnieri, and Kaempferia galanga",Outsource Product Manufacture LLC,1/7/2004,3/19/2004
272,Rpt/NDI 228,Echium oil derived from seeds of Echium plantagineum L.,Bioriginal Food and Science Corp.,1/12/2004,3/26/2004
273,Rpt/NDI 229,Conesco Brand Sea Buckthorn Seed Oil derived from Hippophae rhamnoides L.,"Conseco Sea Buckthorn Co., Ltd.",1/23/2004,4/6/2004
274,Rpt/NDI 230,Conesco Brand Sea Buckthorn Fruit Oil derived from Hippophae rhamnoides L.,"Conseco Sea Buckthorn Co., Ltd.",1/23/2004,4/6/2004
275,Rpt/NDI 231,Essence of Mulberry or Mulberry Dietary Supplement (Essence of Mullberry 8 & 8),Seven Tortoise Co Ltd,1/23/2004,4/6/2004
276,Rpt/NDI 232,2-Aminoethanethiol hydrochloride or cysteamine hydrochloride (S-BI II),Omega Bio-Pharma (USA) LLC,1/29/2004,4/6/2004
277,Rpt/NDI 233,(-)-Cotinine (Duboisia hopwoodii (F. Muell.)),"Stage II Enterprises, LLC",2/6/2004,4/20/2004
278,Rpt/NDI 234,Nano red elemental selenium (Nano-Se),Nano Port (USA) Inc.     ,2/23/2004,5/7/2004
279,Rpt/NDI 235,7-hydroxymatairesinol (HMR) which is a potassium acetate complex  extracted and purified from spruce tree wood chips (Picea abies (L.) H. Karst.b),Hormos Medical Corporation,3/8/2004,5/20/2004
281,Rpt/NDI 236,Astaxanthin extracted from Haematococcus pluvialis algae,"Fuji Chemical Industry Company, LTD",3/15/2004,5/28/2004
282,Rpt/NDI 237,ZANTHINE extract Astaxanthin Complex (10% standardized) extracted from Haematococcus  pluvialis algae,"Nutraceuticals, LLC",3/24/2004,6/7/2004
283,Rpt/NDI 238,Hoodia gordonii powder,Awareness Corporation,3/29/2004,6/9/2004
284,Rpt/NDI 239,Hypoestes rosea (P. Beauv),Quinta Naturaceuticals Inc,4/1/2004,6/15/2004
285,Rpt/NDI 240,Phyto-derived Ceramides,"Soft Gel Technologies, Inc",4/5/2004,6/18/2004
286,Rpt/NDI 241,Cholecalciferol (vitamin D3) (Maximum D3),BTR Group Inc,4/14/2004,6/28/2004
287,Rpt/NDI 242,Lactium which is a milk protein hydrolysate in powder,Ingredia,4/29/2004,7/2/2004
288,Rpt/NDI 243,"VI-28 which is a combination of Panax ginseng, Cornu cervi pantotrichum, Cuscuta chinesis, Cnidium monnieri, and Kaempferia galanga",Outsource Product Manufacture LLC,5/27/2004,8/10/2004
289,Rpt/NDI 244,Conesco Brand Sea Buckthorn Seed Oil derived from Hippophae rhamnoides L.,"Conseco Sea Buckthorn Co., Ltd.",6/7/2004,8/19/2004
290,Rpt/NDI 245,Conesco Brand Sea Buckthorn Fruit Oil derived from Hippophae rhamnoides L.,"Conseco Sea Buckthorn Co., Ltd.",6/7/2004,8/19/2004
291,Rpt/NDI 247,Sang-Hwang Mushroom Tea,Herbal Cure USA LLC,6/8/2004,8/27/2004
292,Rpt/NDI 246,Carnitine Creatinate Monohydrate,"AMT Labs, Inc",6/9/2004,8/20/2004
293,Rpt/NDI 248,Kakadu Plum (Terminalia ferdinandiana) Concentrate,Access Business Group ,6/24/2004,9/3/2004
294,Rpt/NDI 249,Creatine Ethyl Ester HCl (CE2),Medical Research Institute ,7/19/2004,10/1/2004
295,Rpt/NDI 250,Clematis mandshurica extract,Ztis Inc,7/26/2004,9/29/2004
296,Rpt/NDI 251,"Combination of Honeysuckle, Forsythia and Root of Skullcap extracts (Shuanghuanlian-Healthy Respiration) ",American Research Institute of World Traditional Medicine,8/6/2004,10/21/2004
297,Rpt/NDI 252,Caralluma fimbriata extract,Gencor Pacific,8/31/2004,11/10/2004
298,Rpt/NDI 253,N-Acetyl-L-Hydroxyproline,Medical Research Institute ,9/7/2004,11/18/2004
299,Rpt/NDI 254,Alpha-cyclodextrin,ArtJen Complexus Inc.,9/8/2004,11/22/2004
300,Rpt/NDI 255,Argan oila; Argania spinosa (L.) Skeels,Antanais Corp (Suisse) SA,9/16/2004,11/30/2004
301,Rpt/NDI 256,Vira vira (Achyrocline satureoides),Naturasol,9/23/2004,12/6/2004
302,Rpt/NDI 257,Anamu (Petiveria alliacea),Naturasol,9/23/2004,12/6/2004
303,Rpt/NDI 258,Betaphrine (Isopropyloctopamine) ,"Syntech (SSPF) International, Inc",9/24/2004,12/6/2004
304,Rpt/NDI 259,L-Arginine alpha ketoglutarate (2:1),"MTC Industries, Inc.",9/28/2004,12/10/2004
305,Rpt/NDI 260,Fermented Wheat Germ (Triticum aestivum L. subsp aestivum and Saccharomyces cerevisieae),American Bioscience Inc,11/3/2004,1/11/2005
306,Rpt/NDI 261,"VI-28 (Radix ginseng, Cornu cervi Pantotrichum, Fructus Cnidii, Semen cuscutae, Rhizoma kaempferiae)",Outsource Product Manufacture LLC,11/3/2004,1/12/2005
307,Rpt/NDI 262,Safflorin (octadecadienoic acid isomers),Loders Croklaan B.V.,11/15/2004,1/28/2005
308,Rpt/NDI 263,Arginine Silicate Inositol (ASI) Complex,Nutrition21,11/15/2004,1/28/2005
309,Rpt/NDI 264,Creatine (Creatine from Creatine Ester HCl),Medical Research Institute ,12/1/2004,2/9/2005
310,Rpt/NDI 265,Alpha-cyclodextrin ,ArtJen Complexus Inc.,12/2/2004,2/10/2005
311,Rpt/NDI 266,Kaneka QH  brand of ubiquinol,Kaneka Corp,12/3/2004,2/10/2005
312,Rpt/NDI 267,Kaneka Glavonoid Rich Oil brand of Licorice Flavonoid Oil,Kaneka Corp,12/7/2004,2/18/2005
313,Rpt/NDI 268,Kakadu Plum Concentrate (Terminalia ferdinandiana),Access Business Group ,12/15/2004,3/1/2005
314,Rpt/NDI 269,Spermidine Trihydrochloride,Giuliani Sp.A.,1/28/2005,4/13/2005
315,Rpt/NDI 270,Hydroxycitric Acid,"Shannon Minerals, Ltd.    ",2/2/2005,4/18/2005
316,Rpt/NDI 271,Lyophilised Saccharomyces boulardii (Florastor),"Biocodex, Inc.",2/8/2005,5/23/2005
317,Rpt/NDI 272,CarDiabeat (phytosterol esters including DHA and EPA fatty acids),"Enzymotec, Ltd.",2/10/2005,5/26/2005
318,Rpt/NDI 273,"Probiotic Booster (Lactobacillus acidophilus, Lactobacillus bulgaricus, Lactobacillus fermentum, Streptococcus thermophilus & Streptococcus lactis)",Technology Commercialization Corp.,2/14/2005,5/31/2005
319,Rpt/NDI 274,Astaxanthin present in Haematococcus pluvialis algal biomass,"Fuji Chemical Industry Company, LTD",3/8/2005,5/23/2005
320,Rpt/NDI 275,Wheat germ-derived Ceramides,"Soft Gel Technologies, Inc",3/9/2005,5/31/2005
321,Rpt/NDI 276,Enzyme-treated Agaricus Blazei Murill Mycelia,Japan Applied Microbiology Research Institute Ltd.,3/10/2005,6/3/2005
322,Rpt/NDI 277,Bacillus subtilis DB9011,"BAU, Inc.",3/15/2005,5/27/2005
323,Rpt/NDI 278,Zathin Extract Astaxanthin Complex from Haematococcus pluvialis,"US Nutra, LLC",3/18/2005,6/3/2005
324,Rpt/NDI 279,Sang-Hwang Mushroom (Phellinus linteus (Berk. & M.A. Curtis) Teng),Herbal Cure USA LLC   ,3/23/2005,6/8/2005
325,Rpt/NDI 280,Zeaxanthin purified concentrate from Marigold (Tagetes erecta),Chrysantis/Ball Horticultural Co.,4/8/2005,6/21/2005
326,Rpt/NDI 281,Purple Corn Extract Zea mays L.,Rainforest Botanicals LLC,4/14/2005,6/28/2005
327,Rpt/NDI 282,Biomass of Bifidobacterium infantis Strain 35624,Proctor and Gamble Company,5/4/2005,7/18/2005
328,Rpt/NDI 283,Ubiquinol (KANEKA QH),Kaneka Corp,5/5/2005,7/19/2005
329,Rpt/NDI 284,Licorice flavanoid oil (Glycyrrhiza glabra L.),Kaneka Corp,5/5/2005,7/19/2005
330,Rpt/NDI 285,Extract of Garcinia Cambogia (Coolwater Trim),"Shannon Minerals, Ltd.    ",5/25/2005,8/8/2005
331,Rpt/NDI 286,Extract of Garcinia Cambogia (Burren Springs),"Shannon Minerals, Ltd.    ",5/25/2005,8/8/2005
332,Rpt/NDI 287,(-)-Hydroxycitric Acid (Coolwater Trim),"Shannon Minerals, Ltd.    ",5/25/2005,8/8/2005
333,Rpt/NDI 288,(-)-Hydroxycitric Acid (Burren Springs) ,"Shannon Minerals, Ltd.    ",5/25/2005,8/8/2005
334,Rpt/NDI 289,Canarium Indicum (L) nut oil,Naturaleaf Inc,6/1/2005,8/12/2005
335,Rpt/NDI 290,"Curcumin (Curcuma Longa), L-alanine, L-arginine, Glycine, L-ornithine, L-sserine, L-threonine, L-valine, Piperine (Piper nigrum)","Aminocare Products, LP",6/1/2005,8/15/2005
336,Rpt/NDI 291,Pancreatopeptidase E (Elastase),"OYC International, Inc.",6/22/2005,8/9/2005
337,Rpt/NDI 292,Pine nut oil fatty acids Pinus koraiensis (Pinno-thin FFA),Loders Croklaan B.V.,6/22/2005,9/1/2005
338,Rpt/NDI 293,Diosmin and Hesperidin,Stragen Pharma SA,6/23/2005,9/6/2005
339,Rpt/NDI 294,Toona sinensis (A Juss.) M. Roem,Leonard Lee,6/23/2005,9/1/2005
340,Rpt/NDI 295,Heracleum lanatum (Michx),Leonard Lee,6/23/2005,9/1/2005
341,Rpt/NDI 296,"ACAPHA (Sophora tonkinensis, Polygonum bistorta, Prunella vulgaris, Sonchus brachyotus, Dictamnus dasycarpus, Dioscorea bulbifera)",Global Cancers Strategies Ltd,6/27/2005,9/9/2005
342,Rpt/NDI 297,"VI-28 (Radix ginseng, Cornu cervi Pantotrichum, Fructus Cnidii, Semen cuscutae, Kaempferiae rhizoma) ",Vigconic (International) Ltd.,8/18/2005,10/13/2005
343,Rpt/NDI 298,Manganese glucosamine gluconate,"Albion Laboratories, Inc",8/29/2005,11/10/2005
344,Rpt/NDI 299,Omega-3 Phospholipids,Natural ASA,9/6/2005,11/18/2005
345,Rpt/NDI 300,Kakadu Plum Concentrate (Terminalia ferdinandiana),Access Business Group ,9/7/2005,11/18/2005
346,Rpt/NDI 301,Saccharomyces boulardii,"Biocodex, Inc.",9/8/2005,11/22/2005
347,Rpt/NDI 302,"Alka-plex (calcium carbonate, magnesium hydroxide, potassium hydroxide)",pH Sciences Inc,9/9/2005,11/22/2005
348,Rpt/NDI 303,Purple Corn Extract (Purple X),Rainforest Botanicals LLC,9/22/2005,12/6/2005
349,Rpt/NDI 304,Extract of Garcinia Cambogia (Coolwater Trim),"Shannon Minerals, Ltd.    ",9/22/2005,12/6/2005
350,Rpt/NDI 305,Extract of Garcinia Cambogia (-)-HCA (Burren Springs Trim),"Shannon Minerals, Ltd.    ",9/22/2005,12/6/2005
351,Rpt/NDI 306,Saccharomyces cerevisiae strain DIAM-H-04-2 (Epicor),"Embria Life Sciences, LLC",9/23/2005,12/6/2005
352,Rpt/NDI 307,KiwiBerry Extract Concentrate (Actinidia arguta (Sieb. & Zucc.) Planch. ex Miq.),Efficas,9/27/2005,12/9/2005
353,Rpt/NDI 308,Geranti Bio-Ge Yeast  (Saccharomyces cerevisiae  (KCTC-1199)),"Geranti USA, Inc.",10/3/2005,12/14/2005
354,Rpt/NDI 309,Benfotiamine (S-benzoylthiamine O-monophosphate),Louis Montgomery Enterprises,10/11/2005,12/23/2005
355,Rpt/NDI 310,"ACAPHA (Sophora tonkinensis, Polygonum bistorta, Prunella vulgaris, Sonchus brachyotus, Dictamnus dasycarpus, Dioscorea bulbifera) (ProhibitRx)",Global Cancers Strategies Ltd,10/17/2005,12/29/2005
356,Rpt/NDI 311,Gynostemma pentaphyllum (Thunb) Mak (Manjusaka),"Kedeyoung Industry (Shanghai) Co., Ltd.",10/18/2005,12/29/2005
357,Rpt/NDI 312,Ganoderma lucidum (Fr) Karst,Zephantech LLC,10/26/2005,12/23/2005
358,Rpt/NDI 313,"Extract of Garcinia Cambogia, (-)-Hydroxycitric Acid, SuperCitriMax (Coolwater Trim)","Shannon Minerals, Ltd.    ",10/27/2005,12/29/2005
359,Rpt/NDI 314,"Extract of Garcinia Cambogia (-)-Hydroxycitric Acid, SuperCitriMax (Burren Springs Trim)","Shannon Minerals, Ltd.    ",10/27/2005,12/29/2005
360,Rpt/NDI 316,Pine nut oil fatty acids Pinus koraiensis (Pinno-thin FFA),Loders Croklaan B.V.,11/7/2005,2/14/2006
361,Rpt/NDI 315,Psyllium hemicellulose (Plantago ovata Forsk.),Proctor and Gamble Company,11/14/2005,1/27/2006
362,Rpt/NDI 317,Ganoderma lucidum (Fr) Karst (Lingzhi Polysaccharides) (CaTh-F1),Zephantech LLC,11/23/2005,2/2/2006
363,Rpt/NDI 318,Ganoderma lucidum (Fr) Karst (Lingzhi Polysaccharides) (CaTh-F2),Zephantech LLC,11/23/2005,2/2/2006
364,Rpt/NDI 319,Ganoderma lucidum (Fr) Karst (Lingzhi Polysaccharides) (CaTh-F3),Zephantech LLC,11/23/2005,2/2/2006
365,Rpt/NDI 320,Coriolus versicolor (Yunzhi Polysacharides) (Timthinon),Zephantech LLC,11/23/2005,2/2/2006
366,Rpt/NDI 321,Velvet Antler Powder (Cervus elaphus L.) Chinese Red Ginseng Powder (Panax ginseng C.A. Meyer) (Lubao),Zephantech LLC,11/23/2005,2/2/2006
367,Rpt/NDI 322,Flax Lignans (Linum usitatissimum L.) (BeneFlax),Archer Daniels Midland Company,12/5/2005,2/17/2006
368,Rpt/NDI 323,"QRR-1 (Radix Clematidis, Radix Angelicae Pubescentis, Rhizoma et Radix Notopterygii, radix Saposhnikoviae, Radix gentianae Macrophyllae, Radix Angelicae Sinensis, rhixoma Chuanxiong, cortex Eucommiae, Radix Achyranthis Bidentatae)","Shenzhen Qianrenren Sci. & Tech. Development Co, Ltd.",12/7/2005,2/27/2006
369,Rpt/NDI 324,Bacillus subtilis endospores Strain DB9011,"BAU, Inc.",12/20/2005,3/3/2006
370,Rpt/NDI 325,Diosmin 95 Complex (Citrus sinensis (L.) Osbeck),Stragen Pharma SA,12/27/2005,5/24/2006
371,Rpt/NDI 326,Tulip,"Brock Scientific Consulting, LLC",1/3/2006,3/17/2006
372,Rpt/NDI 327,"Wellbeing Tea, Sanjin Tablets, Ejiao Danggui Heji, Tongren Wuji Baifeng, Wan, Yao Tong Ning Jiaonang",American Masters Herbs Company,1/13/2006,3/29/2006
373,Rpt/NDI 328,"7-keto DHEA acetate, Hoodia Gordinii 20:1 extract, citrus aurantium extract (standardized to 60% synephrine), pepper extract (standardized to 95% Pipperines) and 6,7 dihydroxy bergamottins (grapefruit rind extract)",Oral Delivery Technologies,1/13/2006,3/29/2006
374,Rpt/NDI 331,CVT-E002 (Panax quinquefolius L.),Afexa Life Sciences Inc,1/18/2006,4/17/2006
375,Rpt/NDI 332,S-Benzoylthiamine O-Monophosphate (Benfotiamine),Louis Montgomery Enterprises,1/18/2006,4/3/2006
376,Rpt/NDI 333,Alka-Plex (pH Balance),pH Sciences Inc,1/20/2006,4/5/2006
377,Rpt/NDI 329,"“Androsta 1,4,6 triene ,3,17 dione” and “17hydroxy 6methylene androsta 1,4 diene ,3one”",Oral Delivery Technologies,1/13/2006,3/29/2006
378,Rpt/NDI 330,"“Androsta 1,4,6 triene ,3,17 dione” and “17hydroxy 6methylene androsta 1,4 diene ,3one”",Oral Delivery Technologies,1/13/2006,3/29/2006
379,Rpt/NDI 334,"Saccharomyces cerevisiae Meyen ex E.C. Hansen var. cerevisiae, DIAM-H-04-2 (EpiCor) ","Embria Life Sciences, LLC",1/26/2006,4/11/2006
380,Rpt/NDI 335,"Streptococcus faecalis T-110, Bacillus mesentericus TO-A, Clostridium butyricum TO-A (BIO-THREE)","GloboAsia, LLC",1/26/2006,4/11/2006
381,Rpt/NDI 336,Pacific Yew tips extract (Taxus brevifolia Nuttall) (VitaBio Spirit),VitaBio Inc,1/31/2006,4/13/2006
382,Rpt/NDI 337,"ACAPHA (Sophora tonkinensis, Polygonum bistorta, Prunella vulgaris Sonchus brachyotus, Dictamnus dasycarpus, Dioscorea bulbifera) (ProhibitRx)",Global Cancers Strategies Ltd,2/3/2006,7/12/2006
383,Rpt/NDI 338,Benfotiamine,The Pryde Company,2/7/2006,4/13/2006
384,Rpt/NDI 339,Benfotiamine/Alpha-Lipoic Acid Combination ,The Pryde Company,2/7/2006,4/13/2006
385,Rpt/NDI 340,"AMP, CMP, GMP, UMP, RNA (Nucleic Acid Supplement Capsules)",TJ Panorama Inc,2/27/2006,5/10/2006
386,Rpt/NDI 341,Toona sinensis & Heracleum lanatum,Leonard Lee,3/6/2006,5/19/2006
387,Rpt/NDI 342,"Elite Curcumin, Synthetic",Young Zip Chemical Ind. Co. Ltd.,3/7/2006,5/19/2006
388,Rpt/NDI 343,"Omega-3 phytosterol esters, blended with DHA/EPA enriched fish oil containing fatty acid diglycerides and triglycerides (CardiaBeat)","Enzymotec, Ltd.",4/3/2006,6/13/2006
389,Rpt/DNI 344,Angelica gigas Nakai (Korean) extract,"JLM Marketing, Inc.",4/3/2006,6/14/2006
390,Rpt/NDI 345,"EstroG-100 (Phlomis Umbrosa Extract, Cynanchum Wilfordii Extract, Angleica gigas Nakai (Korean) Extract)","JLM Marketing, Inc.",4/10/2006,6/14/2006
391,Rpt/NDI 346,Alka-Plex (pH Balance),pH Sciences Inc,4/12/2006,6/14/2006
392,Rpt/NDI 347,Extract of Phellinus linteus Mycelium (PL.Yoo) (Mesima Extract Powder),Health World Inc,4/12/2006,6/13/2006
393,Rpt/NDI 348,Kaneka Glavonoid Rich Oil Brand of Licorice Flavonoid Oil ,Kaneka Corp,4/12/2006,7/27/2006
394,Rpt/NDI 349,Pomegranate (Punica granatum L. Wonderful variety) fruit polyphenol extract (POMx),Pom Wonderful LLC,4/24/2006,7/7/2006
395,Rpt/NDI 350,Bacillus Polyfermenticus SCD (Bisroot Strain or BISCAN),"Piscium International, Inc.",5/8/2006,7/19/2006
396,Rpt/NDI 351,(Prolivols) Olive (Olea europaea L) fruit extract rich in polyphenols,Seppic Inc,5/11/2006,7/20/2006
397,Rpt/NDI 352,(Provinols) Red wine (Vitis vinifera L.) extract,Seppic Inc,5/11/2006,7/20/2006
398,Rpt/NDI 353,Cantaloupe melon (Cucumis melo L) extract rich in antioxidants (Extramel),Seppic Inc,5/11/2006,7/20/2006
399,Rpt/NDI 354,Omega-3 Phospholipids (Omega-3PL),Natural ASA,5/23/2006,8/4/2006
400,Rpt/NDI 355,BeneFlax Flax Lignan Extract (Linum usitatissimum L.),Archer Daniels Midland Company,6/8/2006,9/18/2006
401,Rpt/NDI 356,Vacuum Freeze-Dried Agaricus blazei Murrill extract derived from fruiting body of Agaricus blazei Murrill (ABM-FD),"Iwade Research Institute of Mycology Co., Ltd.",6/28/2006,12/20/2006
402,Rpt/NDI 357,Cytisine extracted from Cytisus labroinu (Tabex),National Center for Tobacco research,6/28/2006,9/7/2006
403,Rpt/NDI 358,Diosmin (Diosvein),"Exquim, S.A.",7/6/2006,9/19/2006
404,Rpt/NDI 359,"19-nordehydroepiandrosterone or 19-norDHEA (Nucleic Acid
Supplement Capsules)",DOX LLC,7/7/2006,9/19/2006
405,Rpt/NDI 360,"Capsinoids (Extracted Oil of Sweet Chili Peppers), Capsicum annuum L. (Capsiate Natura)","Ajinomoto USA, Inc",7/19/2006,10/2/2006
406,Rpt/NDI 361,Absolbotani ,The Center for Lifestyle Disease,7/25/2006,10/3/2006
407,Rpt/NDI 362,"EstroG-100 is a combination of Angelica gigas Nakai, Phlomis Umbrosa Turez, Cynanchum Wilfordii (Maximowicz) J. D. Hooker extracts","JLM Marketing, Inc.",8/1/2006,10/13/2006
408,Rpt/NDI 363,"AMP, CMP, GMP, UMP, RNA (Nucleic Acid Supplement Capsules)",TJ Panorama Inc,8/1/2006,10/13/2006
409,Rpt/NDI 364,Clematis mandshurica Rupr. (SKI306X),"SK Chemical Co., Ltd.",8/7/2006,10/19/2006
410,Rpt/NDI 365,Angelica gigas Nakai (Korean) extract,"JLM Marketing, Inc.",8/14/2006,10/26/2006
411,Rpt/NDI 366,"Psyllium hemicellulose, Plantago ovata Forssk.",Proctor and Gamble Company,8/16/2006,11/21/2006
412,Rpt/NDI 367,Oxaloacetic Acid (BenaGene),Terra Biological LLC,8/29/2006,11/13/2006
413,Rpt/NDI 368,"Filtrum-STI, Lignin hydrolyzed 0.4g ≥95%    ",OAO Sti-Med-Sorba,8/31/2006,11/13/2006
414,Rpt/NDI 369,Pomegranate (Punica granatum L. Wonderful variety) fruit polyphenol extract (POMx),Pom Wonderful LLC,9/6/2006,12/1/2006
415,Rpt/NDI 370,Phellinus linteus mycelium extract (Mesima Ex Powder),Health World Inc,9/6/2006,12/5/2006
416,Rpt/NDI 371,Omega-3 Phospholipids,Natural ASA,9/8/2006,12/5/2006
417,Rpt/NDI 372,AstaPure oleoresin derived from Haematococcus pluvialis Flowtow,Algatechnologies,9/8/2006,12/7/2006
418,Rpt/NDI 373,Aka-shoma extract derived from Astilbe thunbergii. (Siebold & Zucc.) Miq,"BHN Co., LTD",9/8/2006,12/5/2006
419,Rpt/NDI 374,Ecklonia cava Kjellman extract (SEANOL),"Simply Healthy, LLC",9/13/2006,3/14/2007
420,Rpt/NDI 375,Crossential Super Refined Echium Oil,Croda Chemicals Europe Ltd,9/20/2006,12/20/2006
421,Rpt/NDI 376,S-Benzoylthiamine O-Monophosphate (Benfotiamine),Louis Montgomery Enterprises,9/26/2006,12/10/2006
422,Rpt/NDI 377,Gossypium herbaceum L. (Pagacol) ,Alltracel Pharma Ltd,9/27/2006,12/14/2006
423,Rpt/NDI 378,BeneFlax Flax Lignan Extract,Archer Daniels Midland Company,10/6/2006,12/20/2006
424,Rpt/NDI 379,Rapid Fat Burner Plus and Easy Detox,Australian Natural Care Products Pty. Ltd.,10/6/2006,12/20/2006
425,Rpt/NDI 380,"Immunoprop (Glutathione, L-Cystine)",Immunoprop Inc,10/30/2006,1/3/2007
426,Rpt/NDI 381,Lactobacillus Rhamnosus GT-1 and Lactobacillus Reuteri RC-14 (RepHresh Pro-B),Lil' Drug Store Products Inc,11/1/2006,1/16/2007
